Time  <B  Du Df Db Dr Dl Gu Gf Gb Gr Gl>		Action		Score
------------------------------------------- 		------ 		-----
1    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	-1
2    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	-2
3    [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	-3
4    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	-4
5    [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	-5
6    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	-6
7    [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	-7
8    [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	-8
9    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	-9
10    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	-10
11    [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]			Move Forward	-11
12    [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	-12
13    [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Vacuum		85
14    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	84
15    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	83
16    [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	82
17    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	81
18    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	80
19    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	79
20    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	78
21    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	77
22    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	76
23    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	75
24    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	74
25    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	73
26    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	72
27    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	71
28    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	70
29    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	69
30    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	68
31    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	67
32    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	66
33    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	65
34    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	64
35    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	63
36    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	62
37    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	61
38    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	60
39    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	59
40    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	58
41    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	57
42    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	56
43    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	55
44    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	54
45    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	53
46    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	52
